任务,n,AUC
PCBA-1030,54,0.567
PCBA-1461,52,0.439
PCBA-1468,63,0.894
PCBA-1688,57,0.688
PCBA-2546,74,0.946
PCBA-2551,74,0.842
PCBA-504332,76,0.555
PCBA-504339,75,0.899
PCBA-504444,55,0.722
PCBA-540276,40,0.752
PCBA-588855,61,0.805
PCBA-624288,74,0.986
PCBA-624296,61,0.501
PCBA-624417,50,0.653
PCBA-651635,67,0.948
PCBA-686970,67,0.701
PCBA-686978,58,0.732
PCBA-686979,60,0.714
PCBA-720579,49,0.819
PCBA-720580,57,0.979
PCBA-938,20,1.0
